word,count,doc_freq,weighted_count
provide,264857,180326,180588930.0
campaign,254017,113459,179963626.0
fluoride,224140,22063,179012730.0
effective,254172,167558,177549912.0
healthy,269687,135301,177497734.0
infectious,248096,137658,177085741.0
prevent,249072,171159,176313658.0
confirmed,216770,129315,175891624.0
want,312935,185562,175130862.0
resource,256945,154083,175113959.0
better,275266,186265,174873304.0
initiative,247782,130889,174295553.0
free,276975,158705,173931284.0
mean,282045,171976,173622937.0
www,334976,168006,173469660.0
sample,212302,79845,173083538.0
working,255132,180118,172873942.0
body,260149,142161,172415697.0
good,318552,191855,172044208.0
thing,327106,174660,171452301.0
management,244768,106063,171193814.0
release,297847,189243,170572677.0
problem,259366,163924,170512298.0
america,261784,142722,168986697.0
activity,234993,109723,168593153.0
crisis,235205,128458,168459436.0
told,223516,139456,168390015.0
address,242296,163111,167971953.0
mosquito,236822,36291,167789339.0
approach,233766,138506,167514428.0
que,279255,22182,167265365.0
strategy,232096,131103,166978185.0
event,268193,139338,166366623.0
increased,222239,134998,166272557.0
next,277290,186763,165775882.0
measure,224176,130514,165418396.0
aid,232067,80928,165048670.0
often,235386,156781,164490010.0
known,231646,171289,164326178.0
california,224911,93518,163947466.0
doctor,255978,137847,163667545.0
solution,268218,126930,163636142.0
different,238705,146780,163435922.0
really,308469,153396,162971070.0
canada,204478,56420,162685398.0
institute,238302,130261,161993313.0
several,227999,169566,161910664.0
critical,232387,161883,160034635.0
another,244302,179195,158866527.0
article,200871,104528,157815578.0
texas,244642,76259,157753356.0
outcome,217126,114747,157157282.0
published,208380,159061,156886706.0
model,194544,75674,155693795.0
decision,209967,131560,155572646.0
content,255820,181345,155214059.0
evidence,217922,133608,155104731.0
industry,242366,116413,154882446.0
severe,216867,133159,154173190.0
threat,220251,132368,154150028.0
five,213281,146201,153811137.0
likely,210713,138408,153396482.0
education,219572,115405,152499242.0
especially,219457,164771,152324641.0
place,243918,177237,152318468.0
south,224678,115231,151858111.0
environmental,206083,97835,151628364.0
making,236371,181128,151101962.0
current,214014,148690,150858852.0
common,202160,126922,150784179.0
chronic,213370,102582,150071120.0
blood,244830,90235,149804297.0
nearly,218313,162978,149517397.0
leader,232871,144775,149449429.0
finding,201729,116539,149277981.0
end,232329,155948,149104533.0
provider,219644,120389,149088675.0
non,218275,116868,148842720.0
author,181316,96745,148546280.0
business,248707,121530,148220635.0
safe,225877,146462,147977464.0
point,230287,146345,147902103.0
