word,count,doc_freq,weighted_count
health,1441714,179811,959278906.0
public,474400,142521,303032411.0
public health,365470,132885,241026635.0
said,323263,98844,213349874.0
disease,357180,110390,206965743.0
community,289242,81509,189789388.0
care,295422,70223,181338796.0
year,316000,115981,179295619.0
people,312361,102435,168755774.0
vaccine,278583,45773,166820785.0
new,291096,110135,157153743.0
state,251669,92208,155587964.0
also,255797,115854,148163464.0
world,210118,83962,132791297.0
one,245649,106395,129466521.0
service,206112,76537,128189249.0
research,209520,64530,121163622.0
healthcare,181168,46572,121116120.0
patient,218648,52045,118190533.0
study,212296,48312,117335805.0
market,188392,25744,116067590.0
global,185752,53255,115806243.0
child,191095,52589,113311852.0
program,187292,63869,110127165.0
time,201415,91668,107684155.0
data,170859,52277,104324974.0
system,163317,65056,102908313.0
country,156982,66873,101540320.0
need,174312,85603,101185760.0
case,167107,53408,100555450.0
risk,183650,64626,98805541.0
medical,176061,67726,94728231.0
food,170548,41907,94207030.0
like,188839,81704,93332121.0
com,179584,74864,91771108.0
report,149984,51918,91474526.0
day,162454,67327,90309309.0
support,154514,71655,90000802.0
including,158285,85873,89991486.0
organization,146035,73756,89051515.0
may,157200,69904,87494347.0
news,187028,90952,86716368.0
life,162960,72616,86373674.0
first,154183,78029,84970340.0
water,135916,28331,84211819.0
center,143643,62211,83701205.0
well,154425,80944,83690815.0
national,141040,63720,83674046.0
information,148275,74361,82540913.0
help,147729,75151,82338218.0
work,137453,69780,80384655.0
say,164402,59928,75796787.0
treatment,142449,48793,75591337.0
based,128363,59533,74713487.0
population,115572,48359,74273079.0
million,132067,60078,73653447.0
high,134559,66329,73547306.0
company,145843,46353,71306990.0
access,112218,52936,71302823.0
across,119370,70224,70383270.0
use,126387,58636,70175813.0
pandemic,95730,36326,69599664.0
department,111096,53025,69423077.0
virus,116387,32373,66700605.0
two,118502,65158,65402295.0
get,136021,62153,64960130.0
development,113420,46775,64639834.0
group,105994,48387,64055641.0
level,104016,47330,63756703.0
government,100706,47217,63271312.0
make,119311,71792,62488513.0
covid,95905,36663,62228632.0
prevention,96034,51391,62113669.0
control,101621,53522,61684555.0
human,111277,50762,61587150.0
http,112980,54206,60240468.0
product,120616,38590,59979210.0
could,114719,59076,59632042.0
would,107644,50987,58526957.0
county,93969,26394,57934265.0
agency,95189,44543,57403723.0
impact,99177,55611,57094659.0
individual,94819,45784,56946109.0
vaccination,85439,26470,56719092.0
know,131155,48408,56583891.0
many,101631,61038,56487021.0
effort,87602,51459,55834660.0
hospital,101580,35563,54494756.0
hiv,76735,11808,54481782.0
area,94122,50557,54233918.0
among,87287,47137,54152454.0
family,95393,45690,53844425.0
according,83892,50081,53822516.0
medicine,98839,36795,53813523.0
infection,94570,30832,53206777.0
american,101985,45504,53202369.0
initiative,79505,38790,52721090.0
director,82046,48264,52708474.0
cdc,89916,29474,52275800.0
school,89199,35674,51727332.0
member,81190,40991,51609921.0
local,86972,48110,51442896.0
www,106293,52682,51396798.0
world health,69324,41576,51264505.0
right,108135,52025,50772744.0
united,80008,49238,50658003.0
rate,84788,37635,50586231.0
social,77221,38867,49973681.0
today,113042,69498,49719003.0
change,86131,45616,49582328.0
president,93908,47432,49277113.0
challenge,75526,41992,48915029.0
city,89155,35104,48742842.0
part,86376,57396,48603491.0
way,90471,56085,47951500.0
issue,80741,49789,47848182.0
contact,88734,56367,47693969.0
outbreak,77814,27114,47675955.0
