value,kind,dimension,credit,credit_share,rating,rating_pct,color,marker,node_size
3newsnow.com,item,publication_name,0.0001557699481123,0.0001557699481123,4,0.1684585176014768,#8c564b,o,80.0
3newsnow.com,item,publisher_name,0.0001552774735491,0.0001552774735491,4,0.1728511424205456,#e377c2,o,80.0
4 minutes,item,author_name,1.21173126619783e-05,1.21173126619783e-05,3,0.0152070959788406,#1f77b4,o,80.0
44News,item,publication_name,8.103356895470618e-05,8.103356895470622e-05,3,0.5481055150486129,#8c564b,o,80.0
44News,item,publisher_name,8.128788962313721e-05,8.128788962313739e-05,3,0.5521911994347195,#e377c2,o,80.0
5 Star Discovery,item,publication_name,1.578138033319848e-05,1.5781380333198485e-05,2,0.5564443512171087,#8c564b,o,80.0
5 Star Discovery,item,publisher_name,1.560589210194552e-05,1.5605892101945556e-05,2,0.5445386893799872,#e377c2,o,80.0
5 minutes,item,author_name,0.0,0.0,1,0.0,#1f77b4,o,80.0
50 States Today,item,publication_name,0.0001024288507817,0.0001024288507817,3,0.7679088323375168,#8c564b,o,80.0
50 States Today,item,publisher_name,0.00010238069982,0.00010238069982,3,0.7714798170042935,#e377c2,o,80.0
550 AM KTSA,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
550 AM KTSA,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
580 CFRA,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
580 CFRA,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
590 VOCM,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
590 VOCM,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
600 KCOL,item,publication_name,0.0001139209564663,0.0001139209564663,3,0.8859723835699622,#8c564b,o,80.0
600 KCOL,item,publisher_name,0.000114744098705,0.000114744098705,3,0.9000142619000828,#e377c2,o,80.0
630 CHED,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
630 CHED,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
680 CJOB,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
680 CJOB,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
7 minutes,item,author_name,1.5066775600781292e-05,1.5066775600781292e-05,3,0.1556022559419727,#1f77b4,o,80.0
710 Am Wdsm,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
710 Am Wdsm,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
740 The Fan,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
740 The Fan,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
850 WFTL,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
850 WFTL,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
860Am The Answer,item,publication_name,0.0002048640157528,0.0002048640157528,4,0.4379989132798402,#8c564b,o,80.0
860Am The Answer,item,publisher_name,0.0002067817058575,0.0002067817058575,4,0.4619958064244276,#e377c2,o,80.0
88.5 GPB Atlanta,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
88.5 GPB Atlanta,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
88.5 KNKX,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
88.5 KNKX,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
88.9 KETR,item,publication_name,3.38325213833502e-05,3.3832521383350214e-05,3,0.0631880028799583,#8c564b,o,80.0
88.9 KETR,item,publisher_name,3.377274128456509e-05,3.3772741284565165e-05,3,0.058206230361417,#e377c2,o,80.0
89.1 WEMU,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
89.1 WEMU,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
89.7 WGBH,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
89.7 WGBH,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
89.9 WWNO,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
89.9 WWNO,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
8News Now,item,publication_name,0.0003977680923393,0.0003977680923393,5,0.0005371932759213,#8c564b,o,80.0
8News Now,item,publisher_name,0.0004029950851457,0.0004029950851457,5,0.0005903128207953,#e377c2,o,80.0
90.1 FM WABE,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
90.1 FM WABE,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
90.3 KAZU,item,publication_name,9.082530626514143e-05,9.082530626514147e-05,3,0.6487004200495499,#8c564b,o,80.0
90.3 KAZU,item,publisher_name,9.214052755334276e-05,9.214052755334297e-05,3,0.6650192174410174,#e377c2,o,80.0
90.3 WCPN,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
90.3 WCPN,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
90.7 WFAE,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
90.7 WFAE,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
90.7 WMFE,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
90.7 WMFE,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
91.9 KVCR,item,publication_name,0.0001587933062979,0.0001587933062979,4,0.1850576140054147,#8c564b,o,80.0
91.9 KVCR,item,publisher_name,0.0001595998077685,0.0001595998077685,4,0.1971167186569657,#e377c2,o,80.0
93.1 WZAK,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
93.1 WZAK,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
93.5 Today Radio (CFXJ),item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
93.5 Today Radio (CFXJ),item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
93.9 WTBX,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
93.9 WTBX,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
935 Thelloyd,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
935 Thelloyd,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
94.1 Duke FM,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
94.1 Duke FM,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
94.3 Jack FM,item,publication_name,9.881656411583451e-05,9.881656411583455e-05,3,0.7307981927779652,#8c564b,o,80.0
94.3 Jack FM,item,publisher_name,9.826192499442924e-05,9.826192499442944e-05,3,0.728659518089427,#e377c2,o,80.0
94.7 Jack FM,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
94.7 Jack FM,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
95 Kqds,item,publication_name,9.792756901994786e-07,9.79275690199479e-07,2,0.0026982603754321,#8c564b,o,80.0
95 Kqds,item,publisher_name,9.781787751618523e-07,9.781787751618546e-07,2,0.0034450638813877,#e377c2,o,80.0
979weve,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
979weve,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
98.1 CHFI,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
98.1 CHFI,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
98.3 and 1290 KGVO,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
98.3 and 1290 KGVO,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
98.5 The River,item,publication_name,0.0003883711236069,0.0003883711236069,5,0.0004808120849525,#8c564b,o,80.0
98.5 The River,item,publisher_name,0.0003814562064047,0.0003814562064047,5,0.0004632773395008,#e377c2,o,80.0
99.1 FM Talk,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
99.1 FM Talk,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
99.1 KBU,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
99.1 KBU,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
99.9 Radio USA,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
99.9 Radio USA,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
A Reader,item,author_name,0.0,0.0,1,0.0,#1f77b4,o,80.0
AB Digital Inc,item,author_name,7.267026138114083e-05,7.267026138114083e-05,4,0.8392033464264965,#1f77b4,o,80.0
ABC 13 Action News,item,publication_name,0.0011505978708993,0.0011505978708993,5,0.0050541221623413,#8c564b,o,80.0
ABC 13 Action News,item,publisher_name,0.0011549715785575,0.0011549715785575,5,0.0050254413579523,#e377c2,o,80.0
ABC 13 Toledo,item,publication_name,0.0001336241881537,0.0001336241881537,4,0.0468719962816496,#8c564b,o,80.0
ABC 13 Toledo,item,publisher_name,0.0001244881611312,0.0001244881611312,4,0.0,#e377c2,o,80.0
ABC 3340,item,publication_name,0.0003183378354407,0.0003183378354407,5,6.0616987285201947e-05,#8c564b,o,80.0
ABC 3340,item,publisher_name,0.0003194312923984,0.0003194312923984,5,9.745677391895114e-05,#e377c2,o,80.0
ABC 7 Chicago (WLS),item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
ABC 7 Chicago (WLS),item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
