word,count,doc_freq,weighted_count
quality,105816,54110,72350072.0
fluoride,89967,8837,71217813.0
prevent,100181,68723,71190927.0
healthy,108254,54268,71108661.0
effective,101559,66998,70979825.0
better,110563,74845,70811587.0
resource,102844,61638,70340844.0
free,111286,63729,70317464.0
want,125429,74360,70282359.0
infectious,98581,54882,70086238.0
www,134762,67325,69911729.0
confirmed,86287,51536,69820458.0
initiative,99029,52327,69637822.0
working,102470,72138,69586754.0
mean,113248,68897,69457170.0
sample,85591,31811,69280274.0
body,103660,56765,69000359.0
thing,130961,69790,68562767.0
good,126782,76371,68493958.0
problem,104043,65676,68472976.0
release,119192,75645,68446277.0
management,98394,42633,67977745.0
aid,93456,32513,67769014.0
told,89939,56119,67596535.0
activity,93658,44004,67444012.0
america,104872,57355,67387332.0
address,97290,65473,67247479.0
que,111711,8874,67109148.0
mosquito,94728,14544,66958291.0
strategy,93148,52871,66895321.0
crisis,93741,51511,66829100.0
next,111463,75010,66822976.0
increased,89046,54142,66600359.0
measure,90093,52450,66465043.0
event,107561,56042,66416169.0
approach,93127,55638,66305073.0
doctor,103051,55287,66226988.0
often,94363,63003,66210988.0
canada,82769,22766,65832515.0
known,92883,68678,65713111.0
really,123646,61340,65479868.0
solution,107584,50853,65449532.0
california,89937,37503,64901536.0
institute,95525,52312,64816310.0
several,91304,68008,64808362.0
different,95057,58490,64671315.0
texas,98031,30514,64076027.0
critical,93114,64819,63849163.0
model,78853,30407,63607220.0
another,97770,71587,63365517.0
article,79237,41421,63192914.0
outcome,86900,45982,62735034.0
decision,84548,52819,62690389.0
published,82842,63488,62427044.0
industry,97244,46785,62247248.0
content,101889,72532,61944644.0
especially,88608,66315,61859625.0
evidence,86901,53559,61663036.0
threat,87969,53063,61537234.0
environmental,83226,39407,61431816.0
place,98307,71240,61314579.0
severe,86435,53270,61282350.0
five,85164,58534,61250243.0
education,88149,46337,60916372.0
making,94791,72642,60808621.0
current,85832,59729,60697893.0
likely,83981,55394,60680338.0
blood,98023,35990,60634990.0
south,89719,46174,60608616.0
provider,88490,48120,60413938.0
common,80911,51055,60295935.0
chronic,85748,41315,60286004.0
leader,93618,58106,60173846.0
nearly,87467,65283,59886083.0
end,92767,62399,59693056.0
business,99555,48764,59559220.0
non,87554,47022,59554217.0
finding,80949,46824,59424699.0
author,72444,38649,59243119.0
point,92179,58360,59234112.0
leading,93912,65978,59170795.0
safe,90409,58696,58947006.0
call,98427,65014,58944646.0
less,84776,56639,58830123.0
resident,77316,41356,58797795.0
least,83733,60028,58518530.0
cut,76197,32905,58419217.0
benefit,87797,52039,58373252.0
type,84741,45732,58367581.0
experience,89783,56975,58165772.0
positive,74190,41766,58149489.0
practice,83716,48586,58081855.0
protect,86443,58361,58007816.0
continue,88374,68309,57915234.0
los,85433,20121,57296983.0
office,84210,53169,57283622.0
four,79091,54238,57079409.0
added,73326,53394,56928754.0
called,85482,64000,56731250.0
billion,81155,40813,56717086.0
heart,93134,40737,56592392.0
improve,86213,55691,55925123.0
technology,99373,41154,55520951.0
lower,76819,44536,55309975.0
lot,105103,58644,55207083.0
influenza,73395,20841,55071647.0
second,81577,56150,55068513.0
york,86048,47620,54947546.0
reduce,78571,54322,54890689.0
mental,76373,34391,54803639.0
particularly,72110,51974,54730158.0
gaza,88808,13467,54450705.0
fever,68431,35283,54179348.0
process,76836,48543,53938973.0
facility,71868,35584,53899937.0
already,78289,59125,53789763.0
major,79629,58629,53554429.0
fda,98948,28732,53472717.0
cancer,77611,33842,53451926.0
air,83662,37406,53285848.0
offer,81785,56397,53114879.0
old,83372,53948,53068344.0
best,87991,61881,52902394.0
decade,75037,56545,52858366.0
post,73605,44739,52727380.0
march,73258,45342,52717954.0
polio,68974,15579,52532299.0
following,72483,53377,52497209.0
intervention,68461,33510,52313108.0
participant,65871,21332,52274972.0
tobacco,73146,17672,52266354.0
law,82941,44632,52039110.0
story,85857,56219,51822482.0
must,68801,45904,51607551.0
far,74296,56772,51604118.0
ensure,71684,50850,51595565.0
order,69019,40154,51423026.0
step,77661,53428,51381727.0
authority,68607,44816,51244715.0
set,75832,57136,51232951.0
professional,77581,44658,51226733.0
might,77723,50675,51222658.0
period,67876,39157,50852687.0
past,74571,57627,50574249.0
transmission,60780,30841,50508226.0
look,101548,67018,50459658.0
org,87955,43938,50453145.0
focus,76435,55169,50300927.0
compared,65690,38165,50269036.0
partner,78294,45956,50246834.0
strain,62288,28130,50208836.0
live,87492,56719,50169062.0
foundation,84343,36525,50139069.0
house,79931,44012,50122292.0
drinking,69290,25831,49998342.0
email,66084,43337,49990829.0
hour,85323,53571,49693174.0
share,73578,46590,49602644.0
total,66579,38571,49456972.0
whether,72047,52274,49300517.0
question,76422,49233,49291946.0
india,58651,19974,49215988.0
clinic,69551,33157,49209695.0
project,75247,37244,48832437.0
review,64418,31469,48811264.0
possible,70075,54171,48690270.0
start,83465,59211,48500163.0
milk,63135,13242,48489457.0
young,76354,43328,48436934.0
supply,71580,42534,48056449.0
standard,69262,39353,47718409.0
april,71100,41836,47716871.0
dengue,59630,9565,47711267.0
china,67333,23881,47653151.0
announced,73284,55256,47628782.0
washington,77591,49057,47608561.0
full,68957,52428,47568021.0
top,77280,52886,47554973.0
growth,71362,25942,47286404.0
trend,64455,33159,46672935.0
affected,60768,43533,46544648.0
malaria,59588,11030,46544595.0
keep,75565,54982,46452304.0
others,68260,51893,46360827.0
view,82576,63410,46268680.0
living,67552,41908,46182117.0
become,68037,53205,46146914.0
find,77882,57834,45880141.0
surveillance,54367,28125,45843482.0
scientist,65885,36743,45765768.0
identified,56397,38172,45742053.0
value,60728,29893,45656660.0
tool,68652,41294,45523795.0
environment,64660,39489,45481621.0
network,71153,36930,45290687.0
protection,64939,42016,45226832.0
dairy,54521,15120,45182423.0
north,74334,41736,45045894.0
died,62923,37923,44867554.0
epidemic,60129,35441,44704586.0
secretary,62250,36206,44513098.0
face,65347,48351,44410355.0
looking,101387,46000,44317160.0
seen,65596,50658,44311613.0
physical,59467,28757,44193780.0
growing,67896,48241,44096018.0
chief,64963,45286,44092485.0
forward,94200,40702,44015221.0
essential,61500,41576,44012560.0
percent,54997,23207,43925923.0
west,66140,33306,43878037.0
diabetes,64813,23578,43862603.0
led,64319,50629,43752483.0
getting,74460,52821,43595365.0
additional,64049,48589,43495367.0
minister,53031,23028,43350534.0
multiple,64607,42461,43215858.0
specific,59318,38835,43158639.0
opportunity,66503,45549,43073557.0
scientific,62878,37037,42871333.0
executive,60674,41745,42808579.0
mortality,54489,23492,42474355.0
needed,57547,46170,42449894.0
sign,62252,44089,42404691.0
remains,54536,43999,42256676.0
committee,59002,28082,42253222.0
provides,62117,46518,42182055.0
january,54323,38684,42105705.0
method,53049,24076,41874123.0
awareness,61032,34793,41839242.0
together,65899,47401,41712101.0
meeting,58203,33322,41693425.0
received,58067,40529,41634225.0
line,66122,41136,41615565.0
respiratory,55661,27468,41551244.0
providing,64725,49440,41439269.0
caused,57662,43604,41384163.0
parent,62516,30490,41351294.0
large,57399,43667,41167762.0
primary,60437,33249,41155356.0
included,50090,31684,41002469.0
loss,60410,31184,40895708.0
comment,51510,31999,40868852.0
staff,53954,33096,40680403.0
given,55529,42330,40678960.0
provided,53028,40560,40666330.0
prevalence,48734,18164,40651719.0
smoking,56147,16875,40560715.0
fund,59047,31643,40255155.0
dental,57960,10598,40020171.0
commitment,56955,39522,39873386.0
real,65304,42903,39699867.0
table,45576,15658,39696184.0
hand,59010,35199,39608671.0
farm,52508,17642,39456071.0
survey,51129,23266,39426372.0
men,55330,23636,39366108.0
highest,52283,35862,39328942.0
older,54095,28825,39113069.0
bill,63999,27553,39096809.0
immunization,47566,20396,38985378.0
put,64398,50024,38983881.0
significantly,51324,33791,38919844.0
close,56033,43979,38892763.0
date,59394,38266,38876798.0
goal,58504,42880,38866128.0
collaboration,54578,33072,38843738.0
despite,52807,41916,38835396.0
serious,57171,44153,38823255.0
kid,65792,33185,38813592.0
latest,61406,47977,38807393.0
june,59614,35188,38792121.0
linked,52066,35640,38769286.0
congo,42039,14761,38679457.0
half,58926,44763,38653947.0
kind,68413,46171,38610438.0
currently,57053,45166,38547281.0
overall,55250,37917,38539429.0
comprehensive,55379,36719,38406821.0
climate,56285,21658,38399551.0
laboratory,54016,26039,38371367.0
coverage,52647,29418,38308220.0
yet,54522,44736,38157718.0
recently,53043,45038,38031255.0
white,56160,33164,38031202.0
expected,58171,40035,38023450.0
robert,56278,38303,38014559.0
record,57490,35025,37911110.0
security,67681,38686,37888406.0
student,58959,24088,37855220.0
six,56661,39840,37752420.0
income,48920,25601,37742174.0
increasing,52302,37693,37684747.0
central,52728,35697,37668045.0
alcohol,60776,16189,37655176.0
site,53577,32304,37643877.0
read,51589,34819,37635269.0
stop,55742,40059,37631566.0
small,58495,41556,37597789.0
various,51921,36692,37561613.0
ago,56970,45229,37527020.0
ongoing,53090,41311,37404589.0
play,59356,42329,37307340.0
employee,49986,21958,37243905.0
similar,51970,39643,37157439.0
