person,count
Ron,41
Christy Santhosh,41
Denise,41
Shankar Musunuri,41
John Bolton,41
Seth Lederman,40
Cindy Mccain,40
Catherine,40
Linda,40
Smith,40
Robert Malone,40
Bruce,40
Xi Jinping,40
Nick,40
Jon Ossoff,40
Muntu Davis,40
Ahmed Aboulenein,40
Manuel Adorni,40
Jay,40
Tim Walz,40
Mike Dewine,40
Selena Simmons-Duffin,39
Nick Cassavetes,39
Drop,39
Margaret,39
Cris Osako,39
Howard Lutnick,39
Celine Gounder,39
Tucker Carlson,39
Larry,39
Stephanie Gricius,39
George Floyd,39
Archuleta,39
Jonel Aleccia,39
Roland Driece,38
Murray,38
Matthew Perrone,38
Rob Bonta,38
Dan Buettner,38
Carl,38
Susan Kressly,38
Jen,38
Harry,38
Olusimbo Ige,38
Mark Gottlieb,38
Jared Polis,38
Nabarun Dasgupta,38
Henry Mcmaster,38
James F.,38
Daniel Smith,38
Joshua Drumm,38
Nat,38
Philip Huang,38
Marjorie Greene,38
Eric Deeble,37
Josh Shapiro,37
Noah,37
Punya Srivastava,37
Jamie,37
Linman Li,37
Ali Khan,37
A.,37
S.,37
James Mcdonald,37
Keith Humphreys,37
Patel,37
Harry Levant,37
Josh Green,37
Curry,37
Doug Collins,37
Del Bigtree,37
Jimmy,36
Martha Gulati,36
Lisa Fletcher,36
Aaron Davis,36
Jane Greenhalgh,36
Ben Leedle,36
Anne Heche,36
Brady,36
Casey,36
Martin,36
Doug Ford,36
Brad Wenstrup,36
Luiz Silva,36
M. Al,36
Rahul Gupta,36
Steve Ballmer,36
Norah O'donnell,36
Amy Klobuchar,36
Robert Redfield,36
Anne Rimoin,36
Steven Stack,36
Adan Mendoza,36
Richard Iv,35
Peter Vozzo,35
Robert Jr,35
Anya Sharma,35
Maria,35
Muhammad Pate,35
Mary Conlon,35
Van Kerkhove,35
Adam Ratner,35
Guo,35
Jarbas Barbosa,35
John Roberts,35
John Dickerson,35
Frank Grimes,35
James Woods,35
John Archibald,35
Clark,35
Puja Uppal,35
Mann,35
John Q,35
Rebecca Payne,35
Fatima,35
Raymond Turner,35
James Kearns,35
Ray Liotta,35
Robert Duvall,35
Gus Monroe,35
Robert Local,35
Leslie Dauphin,35
Charles,35
Apurva Chandra,34
Stephane Dujarric,34
Amna Nawaz,34
Geoff Bennett,34
S. Al,34
I Sang,34
King,34
Isaac,34
Robert Koch,34
Little Daggett,34
Jimmy Doyle,34
Alice,34
Josiah Child,34
Brooke Rollins,34
Norman Dale,34
Pam Bondi,34
Newsom,34
Katie Hobbs,34
Jill,34
Jack Smith,34
Daniel Hagari,34
Tammy Baldwin,34
Julie,34
Bradley,34
Anthony,34
Zhou,34
Marty,33
Xi,33
Kristi Noem,33
Daniella Cava,33
Zhang,33
Michael Bailey,33
Deborah Williamson,33
Jerry,33
Lewis,33
Jeff Landis,33
Melody Ding,33
Lisa Ling,33
Jonathan Vigliotti,33
Tarik Jasarevic,33
Rob Stein,33
Zach Holbrooks,33
Gupta,33
Jim Fredericks,33
Julie Steenhuysen,33
Mark Holland,33
J. Al,33
Shah,33
Peter Chin-Hong,32
Bonnie Henry,32
Daniel Ciccarone,32
Anait Miridzhanian,32
Keith,32
Joe Rogan,32
Tom Perez,32
Finney,32
Ayatollah Khamenei,32
Brian Thompson,32
David Margolis,32
Sabin Nsanzimana,32
Mecklenburg,32
Tim Boring,32
Christiane Amanpour,32
George Packenham,32
Lauren,32
Mike Waltz,32
Zelensky,32
John Ratcliffe,32
Tina Tan,32
Ted,32
Andy,32
Tim Kaine,32
Yoav Gallant,32
Christian,32
Chad,32
Guest,32
Carl Schmid,32
Milton,32
Erin Billups,31
Nixon,31
Jon,31
Ros Russell,31
A. Al,31
Wendy,31
Jair Bolsonaro,31
Emmanuel Agogo,31
Mike Ryan,31
Pure Aloe,31
Richard Blumenthal,31
Stefanie Spear,31
Yuki Noguchi,31
