row_index,tag_name,persons,has_person
64,world_health_leadership,,0
65,public_health,Serge Ngalebato,1
66,public_health,"Mercedes Ben, Facis, Namkai, Jessica Parker, Veralicia, Nicki Bady, Bobby Cannavale, Arbel Korzeniowski, Madonna, Sri Lankan, Sashi Perrera, Cherry Jones, Womad, Saigon Soul, Andas Gupta, Karen Krizanovich, Karen, William Grace, Martin Scorsese, Vinyl, Oscar",1
67,public_health,"David Featured, Woodbridge, David Banach, Lamont, David",1
68,public_health,"Donald Trump, Joe Biden, Hamilton Hall, Hamilton Hollande, Ron Desantis",1
69,public_health,"Saul Nhema, Crackdowns",1
70,public_health,"Meg Oliver, Ellie Erickson, Mounjaro",1
71,public_health,"Elizabeth Wolf, Patrick Carter, Laura Seewald, Marc Zimmerman, Editorial Articles, Frederick Rivara, Colin Orr, Anabeel Sen, Derek Chapman, Steven Woolf, Jama Audio, Carrie Musolf, Wolf Er, Chapman Da, Goldstick Je, Cunningham Rm, Bonnie Rj, Fulco Ce, Walton Ma, Mmwr Wkly, Ranney Ml, Roche Js, Roberts Bk, Nofi Cp, Harrison, Sathya Trends, Barrett Jt, Lee Lk, Monuteaux Mc, Hoffmann Ja, Jama Pediatr, Neufeld My, Allee L, Ormseth Ch, Mooney Ac, Mitchell, Skillen, J Pract",1
72,public_health,"Garlic, Allicin, Peggy Choucair, Garlic Supplements, Cooked Heat, Song K, Garlic Pills, Garlic Juice",1
73,public_health,"Jake, Gen Zeer, Sanjay, Sanjay Gupta, Donald Trump",1
74,public_health,"Jeffrey Teitler, Jeffrey Flaks, Rebecca Stewart",1
75,public_health,"Khyber Pakhtunkhwa, Dawn",1
76,public_health,"Matt Meyer, Donald Trump, Josette Manning",1
77,public_health,"Milla Arabadjian, Vivek Murthy, Detail, Tanya Spruill, Yiwei Li, Calvin Colvin, Jacquelyn Taylor, Miriam Miles, Paul Muntner, Byron Jaeger, Jolaade Kalinowski, Ed, Kenneth Butler, Gregory Williams",1
78,health_campaign,,0
79,world_health_leadership,"Angela Chaudhuri, Angela",1
80,public_health,"Donald Trump, Jeff, Allie Anthony, Patrick Evans, Warmer, Numbers--, Phyllis Ritchie, David Brinkman",1
81,public_health,Brian Chirombo,1
82,public_health,"Robert Kennedy, Donald Trump, Richard Williams, James Campbell",1
83,public_health,Thongchai Keeratihattayakorn,1
84,public_health,"Ben Palleiko, Ryan Baker",1
85,public_health,Deep Dive,1
86,public_health,"Slammed After, Sean Duffy, Kristen Welker, Joe Biden, Donald Trump, Van Hunt, Berry, Mother, Robert Prevost, Pope Xiv, Pope, Joe Binder, Pope Leo, Eddie Schmitt, Bob, Eddie, Robert Kennedy, Amaryllis, Bobby, Kick, Jackson, Kathleen, Leo Xiv, Emerita Pelosi, C Nt, Obama, Steve Morrison, Paula Young, Carter, Clinton, Lou, Jd Vance, Geraltthegrey, Mum, Sure Bert, Grade, Bipap, Kindness, Mychart",1
87,public_health,"Respiratory Disorders, Oliver Guirdham",1
88,public_health,"C. Day, Tedros Ghebreyesus",1
89,health_campaign,"Robert Garofalo, Fred Says, Robert Children, Fred, Karen Musgrove, Birmingham Outreach",1
90,public_health,Nirav Shah,1
91,public_health,"Justin Smith-White, Prem Singh, Pamela Miller, Sarah Dunlop",1
